,komentar,kategori,label,clean_text
11,"Tuh dengar kata emak lu. jangan bego lagi, stop buat malu diri sendiri dan keluarga lu ‚",hate speech,1,tuh dengar emak bodoh stop malu keluarga
12,Lah ini bisa ngajak jalan orang tua tapi minta donasi buat anak. Sehat mbk?,hate speech,1,ngajak jalan orang tua donasi anak sehat mbak
13,Makanya jangan tolol,hate speech,1,tolol
14,KATANYA PUNYA DUIT BANYAK TAPI KOK MINTA DONASI ‚,hate speech,1,duit donasi
15,IYA SI MAHA PALING BENAR … kalau EMANG KAYA STOP OPEN DONASI YA¸,hate speech,1,iya si maha emang kaya stop open donasi ya
16,Kasihan anak nya baru lahir tidak punya bapak pasti anak yatim yah,hate speech,1,kasihan anak nya lahir tidak anak yatim yah
17,Ngakak banget saya sama dia open donasi bukan buat lahiran Tapi buat HURA HURA NGAKU ORANG KAYA !!!! TAPI NGEMIS NGEMIS ONLINE HAHAHA saya GA BENCI ANAK LU. kita ga benci anak lu..tapi jijik sama kelakuan lu.. udah susah jangan mengaku kaya,hate speech,1,tertawa banget open donasi lahir hura hura ngaku orang kaya ngemis ngemis online hahaha tidak benci anak tidak benci anak lutapi jijik laku susah kaya
18,Hahahhaha kalau biskuit khongsayan bapaknya yang fotoin dan ga mnt donasi juga hehehehehe,hate speech,1,hahahhaha biskuit khongsayan fotoin tidak donasi hehehehehe
19,HIDUPNYA CUMA KONTEN. KASIHAN BANGET DIA GAK BISA MENIKMATI HIDUP,hate speech,1,hidup konten kasihan banget tidak nikmat hidup
20,Hamilnya Sama orang lain Minta Tanggung Jawabnya Sama Netizen.,hate speech,1,hamil orang tanggung netizen
21,"Kasian anak nya, jadi di ajarin ngemis",hate speech,1,kasihan anak nya ajarin ngemis
22,Ga jelas lo nis makin lama.. mending amal ke anak yatim..,hate speech,1,tidak ni mending amal anak yatim
23,"Yuk ramai ramai laporkan akunnya ini akun penipuan yok bisa para netizen bisa yok,,, ",hate speech,1,yuk ramai ramai lapor akun akun tipu yok netizen yok
24,Kejiwaannya sehat ga sih ini? benaran nanya ‚,hate speech,1,jiwa sehat tidak sih
25,Hidup lu konten mulu. Kasian tidak menikmati hidup,hate speech,1,hidup konten mulu kasihan tidak nikmat hidup
26,Kasian padahal belum lahiran tapi dah kena baby blues ,hate speech,1,kasihan lahir kena baby blue
27,Ngomong lu ama tembok. Goblok kok dipelihara,hate speech,1,ngomong tembok goblok pelihara
28,Sok suci kamu pikir kamu Maria ibu Yesus apa yang bisa mengandung dari roh kudus,hate speech,1,sok suci pikir maria yesus kandung roh kudu
29,"Iya betul , ka denis cuma diam doang tiduran Kan yang bergerak si cowok  Ka denis mah cuma tiduran &  ngangkang doang yekan  benar dong ??, Ka denis cuma diam doang kan ?? Tapi si cowok yang gerak  Ka denis cuma tiduran diam  desah doang dikit hehe benar si , ka denis jujur ko guys ",hate speech,1,iya ka den diam tidur gerak si cowok ka den mah tidur ngangkang yekan ka den diam si cowok gerak ka den tidur diam desah hehe si ka den jujur ko guy
30,Goblok ko di pelihara sih lu percuma lu sekolah tidak sih punya malu tidak sih,hate speech,1,goblok ko pelihara sih sekolah tidak sih malu tidak sih
31,"Berani bawa2 SUMPaH dengan kelakuan yang tidak di anggap, gak ada orang yang gak melakukan hal bodoh bisa hamil, terus itu anak di sulap gitu di dalam perut",hate speech,1,berani bawa sumpah laku tidak anggap tidak orang tidak laku bodoh hamil anak sulap perut
32,Seandainya luu gak buat ulah Mungkn nasib lu gak  bakal kaya gini .dulu kelihatan cantik banget angun skarenag malah kacau,hate speech,1,luu tidak ulah mungkn nasib tidak kaya lihat cantik banget angun skarenag kacau
33,"Goblok anak malah di bikin lelucon, sama saja lu jual anak sendiri karena duit, parah benar ini jadi ibu",hate speech,1,goblok anak bikin lelucon jual anak duit parah
34,"Hamil sama Anjing siapa mau Kasihan miskin makan hasil minta'"" tapi sombong nya minta ampun jijik",hate speech,1,hamil anjing kasihan miskin makan hasil sombong nya ampun jijik
35,"orang kaya open donasi, orang kaya open donasi",hate speech,1,orang kaya open donasi orang kaya open donasi
36,"makanya, jangan gampang buka celana dalam",hate speech,1,gampang buka celana
37,"Mau Lahiran kan? Dijaga mulut dan kata2nya, biar nanti gak nyusahin diri sendiri",hate speech,1,lahir jaga mulut biar tidak nyusahin
38,Makanya memek dijaga jangan diobral2,hate speech,1,memek jaga obral
39,"Pas ngelakuin keenakan, ga ingat dampaknya. Pas sudah kejadian, nyesel belakangan ",hate speech,1,pa ngelakuin enak tidak dampak pa sesal
40,makanya jangan keluarin di dalam kalau ga mau bunting ,hate speech,1,tidak bunting
41,"kalau bisa jaga diri ya gak begitu juga ,cinta nafsu birahi itu mah ,cinta kok ngewe",hate speech,1,jaga ya tidak cinta nafsu birah mah cinta ngewe
42,Sombongnya ga ilang2… gimana orang mau respect coba ? Ini orang kaya nanggung tapi sombongnya kebangetan ,hate speech,1,sombong tidak hilang orang hormat coba orang kaya nanggung sombong banget
43,Wkwk orang kaya nih bos sengol dong mau minta sumbangan buat bayi hasil kumpul kebo ngewe sembarangan,hate speech,1,wkwk orang kaya nih bos sengol sumbang bayi hasil kumpul kerbau ngewe sembarang
44,Indikasi ODGJ gak sih,hate speech,1,indikasi odgj tidak sih
45,Baru dia orang yang hamil bangga gak tau bapaknnya dimana naudzubillah,hate speech,1,orang hamil bangga tidak tau bapaknnya naudzubillah
46,Senggol dong orang kaya mau lahiran minta donasi,hate speech,1,senggol orang kaya lahir donasi
47,Baru ini nemu hamil duluan bangga malah pamer ‚,hate speech,1,temu hamil duluan bangga pamer
48,orang  kaya kok minta donasi...!!!‚‚‚‚ miskin ya??? btw nama anak nya donasi sja,hate speech,1,orang kaya donasi miskin ya ngomong ngomong nama anak nya donasi
49,Yuan wibowo sadarlah anakmu butuh kamu  jangan kerjamu asik mabok dan halusinasi aja kasian mbak Denise,hate speech,1,yuan wibowo sadar anak butuh kerja asik mabok halusinasi kasihan mbak denise
50,"dari awal jg keliatan mokondo, numpang, ga ada peduli nya, boro2 sayang.....",hate speech,1,lihat mokondo numpang tidak peduli nya boro sayang
51,aku yakin mereka ini lg drama. dibelakang layar mereka pasti baik baik aja,hate speech,1,drama layar
52,Itu rambut apa jembut,hate speech,1,rambut jembut
53,orang kaya minta sumbangan sana sini,hate speech,1,orang kaya sumbang
54,"Kena karmanya sendari ,, mulutmu hati mau mau dulu kamu bilang org miskin sekarang kamulah yang miskin sampai harus makan aja harus buka donasi,, bagus saya kasih anak yatim lah dari pada harus kasih makan kamu yang ngak pernah sadar kalau di atas langit masih ada langit ",hate speech,1,kena karma sendar mulut hati bilang orang miskin miskin makan buka donasi bagus kasih anak yatim kasih makan tidak sadar langit langit
55,"katanya orang kaya, tapi kok ngemis",hate speech,1,orang kaya ngemis
56,Ngomong R aja gak bisa belagu jadi selingkuhan_-,hate speech,1,ngomong r tidak belagu selingkuh
57,Bangga banget nampangin perut hamil gak ada bapak nya.. bapak mana.. bapak mana dimana,hate speech,1,bangga banget nampangin perut hamil tidak nya
58,Jijik lihatnya.. ,hate speech,1,jijik lihat
59,Kasian anaknya kalau udah keluar gak tau bapaknya yang mana,hate speech,1,kasihan anak tidak tau
60,"Kenapa ya sekarang didunia ini yang hamil diluar nikah itu biasa"" Aja kayak gak punya rasa malu malah kayak bangga begitu , maaf ya cuma tanya ",hate speech,1,ya dunia hamil nikah tidak malu bangga maaf ya
61,Itu perut lemak bukan perut hamil,hate speech,1,perut lemak perut hamil
62,"Denis, lu berat banget apa ya make BH? Minimal mah pakai BH kalau ga bisa beli ya beli atu open donasi lagi. DENIS GAPUNYA BH",hate speech,1,den berat banget ya pakai bh minimal mah pakai bh tidak beli ya beli open donasi den gapunya bh
63,Orang kaya kok minta donasi ,hate speech,1,orang kaya donasi
64,kak kalau buat konten pake BH ‚,hate speech,1,kak konten pakai bh
65,Ayam nya gk kampung tapi cara makan nya yang kampungan...,hate speech,1,ayam nya tidak kampung makan nya kampung
66,Jual makanan tapi gk pake BH . Jorok banget sih,hate speech,1,jual makan tidak pakai bh jorok banget sih
67,orang  kaya tapi ngemis  donasi,hate speech,1,orang kaya ngemis donasi
68,pegemis lagi makan kari ayam,hate speech,1,pegemis makan kari ayam
69,"Suka Aneh sama manusian yang modelnya kaya gini. pakenya aja yang premium2 tapi minta donasi buat kelahiran, nggak malu tu sama botol anggur wkwk",hate speech,1,suka aneh manusian model kaya pakenya premium donasi lahir tidak malu botol anggur wkwk
70,"Sok kaya, ngemis sana-sini,  gak tau malu, udah hamil di luar nikah juga,",hate speech,1,sok kaya ngemis sanasini tidak tau malu hamil nikah
71,"Jngan banyak"" pakai nya. nanti cpt habis cari sumbangan lagi",hate speech,1,jngan pakai nya cepat habis cari sumbang
72,INI PEREMPUAN OTAK NYA tidak WARAS MAKA NYA MALU NYA HILANG... MULUT NYA SUKA SOMBONG... TAPI MAKAN  ENAK2 HASIL DONASI... DI SEKEK BALIK tidak TERIMA... ADA SEBAB ADA AKIBAT... DIA yang BUNTING karena HARGA DIRI MURAH tidak BISA MENJAGA DIRI NYA SENDIRI TAPI ORANG yang DI SALAHKAN... TAPI NAMANYA OTAK tidak WARAS BGITU LAH... ADUH KASIHAN CARI MKN sampai SEGITU NYA... DEMI KONTEN HARGA DIRI sampai JATUH KE BAWAH SEGALA CARA DI HALALKAN... ANAK NYA SDH BESAR PASTI MINDER MALU PUNYA EMAK OTAK NYA SEKLEK AKUT,hate speech,1,perempuan otak nya tidak waras nya malu nya hilang mulut nya suka sombong makan enak hasil donasi kek tidak terima akibat bunting harga murah tidak jaga nya orang salah nama otak tidak waras bgitu aduh kasihan cari makan segitu nya konten harga jatuh halal anak nya minder malu emak otak nya seklek akut
73,Mintanya open donasi untuk biaya lahiran tapi beli barang baby harus branded semua ya kak ‚¸  Kakak kadang becandanya keterlaluan masa orang kaya open donasi :(,hate speech,1,open donasi biaya lahir beli barang baby branded ya kak kakak kadang becandanya orang kaya open donasi
74,sama saja bikin malu diri sendiri,hate speech,1,bikin malu
75,Upah orang sombong,hate speech,1,upah orang sombong
76,otaknya kosong,hate speech,1,otak kosong
77,"akhir zaman, bangga sekali mengumbar sebuah aib mengandung ga tau anak siapa kek tidak ada malunya",hate speech,1,zaman bangga umbar buah aib kandung tidak tau anak tidak malu
78,"Unfollow aja instagramnya, youtube nya, kalau perlu report. Biar IG nya hilang terus kita ga liat dia lagi, Ayok report aja ramai ramai ‚",hate speech,1,unfollow instagramnya youtube nya lapor biar ig nya hilang tidak lihat ayok lapor ramai ramai
79,"Ngomongin doa, inget tuhan aja tidak",hate speech,1,ngomongin doa tuhan tidak
80,"Udah hamil mulutnya itu loh,, yang miskin siapa coba....??? sampai minta donasi2 segala ‚ lucu lu...",hate speech,1,hamil mulut loh miskin coba donasi lucu
81,janda dr mna.. nikah jg kagak… di ngentot doang.. bunting,hate speech,1,janda nikah tidak ngentot bunting
82,TOMBOL GAPEDULI DENIS-----------,hate speech,1,tombol gapeduli den
83,Tombol ini pasti settingan ----,hate speech,1,tombol settingan
84,Definisi gak tau diri apa gimana sih lahiran gak perlu harus punya mobil we astaga lo pake grab aja deh plis¸,hate speech,1,definisi tidak tau sih lahir tidak mobil we astaga pakai grab deh mohon
85,tombol kontol ------,hate speech,1,tombol kontol
86,"kamu hamil juga karna perilaku kamu sendiri. Jangan sampai nanti anak kamu lahir malah malu karna emaknya ngemis2 begini. Jadi kepikiran ntar anaknya ""oh saya dilahirkan dapat uang hasil donasi"". Pernah mikir gitu nggak sih den?",hate speech,1,hamil perilaku anak lahir malu emaknya ngemis pikir anak oh lahir uang hasil donasi berfikir tidak sih den
87,Kayaknya enak kalau kita unfoll ...,hate speech,1,kayak enak unfoll
88,kalau GADA UANG! GAUSAH LAHIRAN DI RS! DI KLINIK BISA! CUMA 3JT! GADA MOBIL?! PAKE TAKSI ONLINE! BUNTING NGEMIS BUAT MAKAN! BUAT LAHIRAN OPEN DONASI! MAU BELI MOBIL NGEMIS!!!!! kalau GADA UANG GAUSAH BANYAK GAYA MANGKANNYA! LU yang NGEWE MALAH ORG2 yang DIRIBETIN DISURUH DONASI! LAWAK?!,hate speech,1,tidak uang tidak lahir r klinik jt tidak mobil pakai taksi online bunting ngemis makan lahir open donasi beli mobil ngemis tidak uang tidak gaya mang ngewe orang diribetin suruh donasi lawak
89,Tombol unfollow -------------------------------,hate speech,1,tombol unfollow
90,… Lahiran minta sumbangan .. dibelain minjem uang buat lahiran .. sehat lu nis … kalau gak punya ga usah di paksain kenapa sih . Lahiran sederhana ... Ga perlu tuh bkin kamar baru buat bayi .. kalau emang pengen yang terbaik buat anak lo gak usah ngemis … kerja keras mbak,hate speech,1,lahir sumbang bain minjem uang lahir sehat ni tidak tidak paksain sih lahir sederhana tidak tuh bkin kamar bayi emang anak tidak ngemis kerja kera mbak
91,Si kontol ga bersyukur udah ngemis banyak pulak gayanya,hate speech,1,si kontol tidak syukur ngemis pulak gaya
92,Berhenti mengikuti... Ini manusia tak bersyukur....,hate speech,1,henti manusia tidak syukur
93,Perempuan goblok,hate speech,1,perempuan goblok
94,orang kaya lagi ngemis ngemis....,hate speech,1,orang kaya ngemis ngemis
95,"Biasa nya kalau wanita hamil di luar nikah pasti di nikahin oleh pasangan nya, lah anda kasihan sekali hamil tidak di nikahkan mulut kau kebanyakan bacot jadi kena karma‚‚",hate speech,1,nya wanita hamil nikah nikahin pasang nya kasihan hamil tidak nikah mulut kau bacot kena karma
96,"katanya horang kaya, tapi kenapa jd begini ya?  Gak ada keahlian sih jd aja namanya Artis Serabutan ‚",hate speech,1,horang kaya ya tidak ahli sih nama artis serabutan
97,Orang kaya ngemis,hate speech,1,orang kaya ngemis
98,Orang gila,hate speech,1,orang gila
99,Bukannya dulu mbak viral karna bilang kaya raya ya ? sampai ngeledekin netizen dibilang miskin,hate speech,1,mbak viral bilang kaya raya ya ngeledekin netizen bilang miskin
100,"Heran, dunia dah mau kiamat. Hamil ga ada bapaknya kok bangga. Cari donasi tapi gaya hidupnya highclass. Ga malu yah",hate speech,1,heran dunia kiamat hamil tidak bangga cari donasi gaya hidup highclass tidak malu yah
101,"Kamarnya yang mewah tapi minta donasi, gak punya malu kah sama yang pake bpjs",hate speech,1,kamar mewah donasi tidak malu kah pakai bpjs
102,Lu open BO aja daripada open donasi,hate speech,1,open bo open donasi
103,"orang mah minta donasi harusnya untuk yang ga mampu, korban bencana alam, yatim piatu dan sebagainya yang sejenis. lah ini kok hamil habis zina malah minta donasi, liat sendiri kan dia gaya hidupnya kaya gimana, tiap hari dia bisa nyari makan sendiri, ya bisa dikatakan tiap hari dia gaya hidupnya Hedon dan Mewah. bukan hujat atau gimana ya tapi kalau selagi mampu ya kenapa minta, pas itu sy denger dia nangis untuk biaya persalinan yang dari donasi hanya 7jt emang segitu KURANG? HARUSNYA LO BERSYUKUR itu mah lebih, lahiran aja normal biasa di bidan 2-5 JT mentok. LAH dia mintanya 90jt untuk persalinan, kek ya Allah miris padahal bisa nyari duit sendiri knp minta donasi TOLONG GENGSINYA DIKURANG udah DIKASIH. masih ada banyak loh orang yang membutuhkan diluar sana yang belum makan sekolah, org yang merantau tapi susah cari kerja, dagangan yang ga laku toko sepi, pelajar yang nyari duit dengan segala cara tapi halal untuk memenuhi kebutuhan tiap harinya. LAH ko ini yang DIPRIORITASKAN dan dipanggung MINTA DONASI, bukan NGUNGKIT tapi karna itu real (ada) dr perbuatan kt dulu dan nyeselnya malah sekarang. no hujat ya tapi ini KELUH KESAHKU yang DNGER INI, SEMOGA KM BISA SADAR dan TOBAT pastinya :)",hate speech,1,orang mah donasi tidak korban bencana alam yatim piatu jenis hamil habis zina donasi lihat gaya hidup kaya nyari makan ya gaya hidup hedon mewah hujat ya selagi ya pa denger nang biaya salin donasi jt emang segitu syukur mah lahir normal bidan jt mentok jt salin ya allah miri nyari duit donasi tolong gengsi kasih loh orang butuh makan sekolah orang rantau susah cari kerja dagang tidak laku toko sepi ajar nyari duit halal penuh butuh ko prioritas panggung donasi ngungkit real nyeselnya nomor hujat ya keluh kesah dengar moga sadar tobat
104,"Bayangin anaknya dewasa,,terus lihat jejak digital… bAgaimna cara anak itu menutup muka???",hate speech,1,bayangin anak dewasaterus lihat jejak digital bagaimna anak tutup muka
105,sepertinya hamil sama ga hamil ga ada bedanya,hate speech,1,hamil tidak hamil tidak beda
106,makanya kalau lagi di atas gausah sombong tantee,hate speech,1,tidak sombong tantee
107,"Pokoknya jangan dikasih, masih ada banyak yang membutuhkan",hate speech,1,pokok kasih butuh
108,"gitu dong jualan gini kan bagus diihat drpd lo ngemis, anak mu pasti malu jd anak mu kalau terus an ngemis",hate speech,1,jual bagus diihat ngemis anak mu malu anak mu an ngemis
109,"Eh kamu hamil apa tidak sh kok gak besar"" itu perut nya",hate speech,1,eh hamil tidak sh tidak perut nya
110,"Para donatur stop sumbangannya, ini contoh tidak baik, orang lain bakal ikut - ikutan nantinya kayak kisah nenek mandi lumpur..",hate speech,1,donatur stop sumbang contoh tidak orang kisah nenek mandi lumpur
111,Bukannya malu malah seperti ini. Amit amit punya keluarga kek gini.,hate speech,1,malu amit amit keluarga
112,Unfollow guys. jangan djadikan publik figur,hate speech,1,unfollow guy djadikan publik figur
113,"Emang sengaja buat gaduh astaghfirullah, karena dia emang butuh kegaduhan supaya viral. Hati2 apa yang kamu posting kak, khawatirnya ada yang mau nge-endorse jadi ga jadi karena lihat ini. ‚",hate speech,1,emang sengaja gaduh astaghfirullah emang butuh gaduh viral hati posting kak khawatir ngeendorse tidak lihat
114,"Gausah ada yang mau nyumbang, mendingan sumbang yang lebih butuh",hate speech,1,tidak nyumbang mending sumbang butuh
115,"hamil elit bayar sulit, malu ga sih lahiran masa open donasi, emang iya lahiran sampai 1m?",hate speech,1,hamil elit bayar sulit malu tidak sih lahir open donasi emang iya lahir m
116,Kau enak enak buat kesalahan terus masyarakat indonesia kau minta tanggung jawab,hate speech,1,kau enak enak salah masyarakat indonesia kau tanggung
117,"usg bisa, biaya lahiran ga sanggup / pura2 ga sanggup. konten jalan terus. selucu itu org didunia ini",hate speech,1,usg biaya lahir tidak sanggup pura tidak sanggup konten jalan lucu orang dunia
118,"Denis betapa miskin nya jiwa mu mau lahiran scc gak punya duit ngemis2 secara online kau gak malu ama status mu yang katanya pengusaha bunga??? Bahakn berhrap 1 M banyak orang2 miskin yang sehari hanya makan 1 kali tapi mereka tetap mau ,bekerja. Dei pda jdo pengemis ko saya sesama perempuan malu tuhan memberi tubuh yang sehat tapi kmu berhrap kamu itu sakit",hate speech,1,den betapa miskin nya jiwa mu lahir scc tidak duit ngemis online kau tidak malu status mu usaha bunga bahakn berhrap m orang miskin makan kali kerja dei jdo emis ko perempuan malu tuhan tubuh sehat berhrap sakit
119,Urat malu dah putus.. Liat noh yang buat lahiran normal aja kaga sanggup.. Pakai BPJS.. engga minta2 kek lu,hate speech,1,urat malu putus lihat noh lahir normal tidak sanggup pakai bpjs tidak
120,"Orang kaya ngemis"" baru denger",hate speech,1,orang kaya ngemis denger
121,Buset dibayar endorse nya dari kapan baru sekarang dipostingnya Karena takut ganti rugi yah,hate speech,1,buset bayar endorse nya dipostingnya takut ganti rugi yah
122,Katanya orang kaya kok ngemis ke netizen,hate speech,1,orang kaya ngemis netizen
123,yang berbuat siapa yang bertanggung jawab siapa lain,hate speech,1,tanggung
124,"kirain goblok, ternyata goblok banget",hate speech,1,kirain goblok nyata goblok banget
125,Teruslah bikin malu sampai dirimu lelah‚,hate speech,1,bikin malu lelah
126,"GAYA ELIT LAHIRAN SULIT ‚ KATANYA ORANG KAYA, MAU LAHIRAN KOK MINTA MINTA ‚",hate speech,1,gaya elit lahir sulit orang kaya lahir
127,Dulu kk koar koar sombong org kaya makan nya ini itu org kaya tujuh turunan „ sekarang buka donasi ‚ makanya kk jangan tinggi banget ngomongnya malu ama yang lebih diatas kk,hate speech,1,kk koar koar sombong orang kaya makan nya orang kaya tujuh turun buka donasi kk banget ngomongnya malu kk
128,Nanti cacingan udah di cek belum . Wkwk,hate speech,1,cacing cek wkwk
129,"Cuma ni manusia yang bangga hamil gak ada laki, minta donasi biaya hidup lagi ‚ yang  temannya ngewe siapa, minta biaya hidupnya sama siapa ",hate speech,1,ni manusia bangga hamil tidak laki donasi biaya hidup teman ngewe biaya hidup
130,"Ha yakin saya Authentic, kalau jual palsu ngaku asli berarti penipuan tuh",hate speech,1,ha authentic jual palsu ngaku asli arti tipu tuh
131,"Kok gitu kulit perutnya, ga semulus foto bikini seperti biasa",hate speech,1,kulit perut tidak mulus foto bikini
132,"Sebenarnya bukan hamil tanpa suami, tapi hamil sebelum NIKAH.. ‚",hate speech,1,hamil suami hamil nikah
133," Lu lg susah aja masih sombong, omongan masih tinggi, ngidam makan hbs 1 jtaan sekali makan, terus yang nanggung makan lu minta sama org2‚ zaman2 lu buka aib suami ayu dewi lu musuhin teman2 lu karena mereka nasehatin lu biar ga koar2 tentang perselingkuhan lu, tapi lu ga terima dan memeutuskan pertemanan sama mereka, sekarang lg susah nyari teman2‚",hate speech,1,susah sombong omong ngidam makan habis jtaan makan nanggung makan orang zaman buka aib suami ayu dewi musuhin teman nasehatin biar tidak koar selingkuh tidak terima memeutuskan teman susah nyari teman
134,"DULU NYA SELALU BILANG"" GUYS MAU PAMER"" Eh ternyata galang dana buat lahiran wkwk",hate speech,1,nya bilang guy pamer eh nyata galang dana lahir wkwk
135,donasi untuk orang yang dulu menyombongkan semua hartanya?? HAHAHA,hate speech,1,donasi orang sombong harta hahaha
136,"Ketika Urat Malu Sdh hilang,.seperti ini nih",hate speech,1,urat malu hilangseperti nih
137,Knp cari teman lu? Bknnya dulu uya lu maki2? sekarang lg susah lu cari,hate speech,1,cari teman bknnya uya maki susah cari
138,"yang bikin zina siapa, yang nanggung persalinan siapa. kalau benar itu ada donasi..... Kalian pada sehat.... Mending donasi orang yang jelas tidak mampu.",hate speech,1,bikin zina nanggung salin donasi sehat mending donasi orang tidak
139,Dia yang ngewe Netizen Pada Donasi ‚ nanti ngewe lagi Donasi lagi Terus Gitu ‚,hate speech,1,ngewe netizen donasi ngewe donasi
140,Haha open donasi udah miskin mbak ? ‚,hate speech,1,haha open donasi miskin mbak
141,Wkwk Dulu kamu menghina orang miskin sekarang kamu minta tolong ke orang miskin kaya sederhana untuk biayain anak hasil luar nikah..... Emang nya kamu sebenarnya sultan atau lagi Negemis si karena uang mu habis ,hate speech,1,wkwk hina orang miskin tolong orang miskin kaya sederhana biayain anak hasil nikah emang nya sultan negemis si uang mu habis
142,syukurin tak ada satupun teman artis membantunya saat open donasi ‚‚ #karmalagi,hate speech,1,syukurin tidak teman artis bantu open donasi karmalagi
143,"ngewe mandiri,udah jadi minta tanggung jawab se-Indonesia wkwk kocak",hate speech,1,ngewe mandiriudah tanggung indonesia wkwk kocak
144,"Gaya elit, lahiran sulit",hate speech,1,gaya elit lahir sulit
145,Sungguh membingungkan lagi live dia cukur bulu ketek ‚ tidak sekalian cukur bulu jembut ,hate speech,1,sungguh bingung live cukur bulu ketek tidak cukur bulu jembut
146,"Baju beli disingapura ,diluar negeri tapi buka donasi. ¸",hate speech,1,baju beli disingapura negeri buka donasi
147,"Biasanya ""makanan orang kaya nih gaes ,kalian ga bakalan mampu beli"" giliran gini bilang gapunya duit , gapunya otak namanya",hate speech,1,makan orang kaya nih gaes tidak beli gilir bilang gapunya duit gapunya otak nama
148,Mana katanya hamil kok gak besar perutnya,hate speech,1,hamil tidak perut
149,"Ga terharu sih, lebih ke miris",hate speech,1,tidak haru sih miri
150,"bikin anaknya ga inget agama, uda kejadian terus open donasi bawa bawa dalil, miris..",hate speech,1,bikin anak tidak agama open donasi bawa bawa dalil miri
151,"donasi? bukan di video lo sering bilang ""orang kaya mau makan ini itu""",hate speech,1,donasi video bilang orang kaya makan
152,Kalau jaman dulu anak diluar nikah pasti malu & ditutupi' tapi sekarang malah di umbar2' miris banget,hate speech,1,jaman anak nikah malu tutup umbar miri banget
153,kok ga malu sih kak,hate speech,1,tidak malu sih kak
154,"bawa bawa tuhan giliran pas ngewe ga inget tuhan, kadang manusia selucu ini wkwk",hate speech,1,bawa bawa tuhan gilir pa ngewe tidak tuhan kadang manusia lucu wkwk
155,"yang ngasi gabut, mending kasi ke org yang lebih membutuhkan",hate speech,1,gabut mending kasih orang butuh
156,ngakunya orang kaya kalau liburan ke luar negeri tapi kok minta sumbangan?,hate speech,1,ngakunya orang kaya libur negeri sumbang
157,akun ini wajib di blokir sih,hate speech,1,akun wajib blokir sih
158,Ngewe nya ga minta ramai2 pas mau lahiran minta ramai2 nyumbang. Waras?,hate speech,1,ngewe nya tidak ramai pa lahir ramai nyumbang waras
159,"Kita memang miskin tapi kita ga pernah buka donasi, siapa tau anda begitu karna omongan anda sendiri",hate speech,1,miskin tidak buka donasi tau omong
160,"Bikinnya Sendirian, giliran udah jadi anak yang tanggung jawab harus ramai2, sampai open donasi hahalucu nih perempuan mana ngutip ayat segala, terus pas ngewe ngga inget dosa Mbak!!!",hate speech,1,bikin gilir anak tanggung ramai open donasi hahalucu nih perempuan ngutip ayat pa ngewe tidak dosa mbak
161,"Katanya orang kaya, tapi ko minta donasi juga dari Netizen‚‚‚",hate speech,1,orang kaya ko donasi netizen
162,Tombol absen buat yang sudah report ----,hate speech,1,tombol absen lapor
163,aku sudah report akun ini¸,hate speech,1,lapor akun
164,gk ada malu nya ni orang. saya rasa urat malunya benar2 dah putus,hate speech,1,tidak malu nya ni orang urat malu putus
165,tombol blokir,hate speech,1,tombol blokir
